,,Product Code,Private Hospi Alex,Private Hospi Cairo,Private Hospi Del2,Private Hospi Giza,Private Hospi Upper,Key Accounts W Cairo,Key Accounts W Giza,ك.عملاء اسكندرية 1,ك.عملاء اسكندرية2,ك.عملاء مطروح واسكن3,ك.عملاء  البحيرة 1,ك.عملاء البحيرة 2,ك.عملاء شرق القاهرة1,ك.عملاء القناة,ك.عملاء وسط البلد,October K.Acc,ك.عملاء فبصل والهرم,ك.عملاء امبابة,Helwan K.Acc,ك.عملاء شرق القاهرة2,ك.ع.م.نصر وهليوبليس,ك.عملاء المنوفية, ك.عملاء الغربية 1,ك.عملاء كفر الشيخ,ك.عملاء الدقهلية 1,ك.ع.الدقهلية2 ودمياط,ك.عملاء الشرقية,ك.عملاء القليوبية, ك.عملاء الغربية 2,ك.عملاء اسيوط,ك.عملاء اسوان,ك.ع.بنى سويف والفيوم,ك.عملاء المنيا,ك.عملاء قنا,ك.عملاء سوهاج,ك.عملاء سوهاج وقنا,ك.ع.المنيا واسيوط,ك.ع.الاقصر والغردقة,Retail  Al-Falaky,Retail Al-Qabary,Retail Nasria,Retail Damanhour 2,Retail Damanhour 3,Retail Mina Al-Basal,Retail Miami,Retail Al-Qabary 2,Retail Almaza 1,Retail Nasr Al-Deen,Retail Imbaba,Retail October,Retail Al-Fayoum,Retail SUEZ,Retail Al-Matarya,Retail Almaza 2,Retail Ein Shams 1,Retail Mostorod,Retail Road Al-Farag,Retail Ein Shams 2,Re Khatem Morsalin,Retail Helwan,Retail Helwan 2,Retail Damanhour,Retail Tanta,Retail Al-Mahala 2,Retail Kafr Al-Zayat,Retail Mansora,Retail Mansora 2,Retail Dekernes,Retail Domiat,Retail Shebin,Retail Al-Zagazik,Retail Fakous,Retail Banha 1,Retail Banha 2,Retail Berka Sabe,Retail Al-Mahala,Retail Tanta 2,RETAIL Monof,Retail Kafr AlZayat2,Retail Al-Zagazik 2,Retail Port-Said,Retail Bani Sueaf,Retail Al-Menia 2,Retail Mallawi,Retail Assuit 3,Retail Assuit 2,Retail El- Kwamel,Retail Sohag,Retail Qena,Retail EL-Balina,Retail Luxor,Retail Aswan,Retail Al-Menia,Retail Hurghada,Retail Ngaa Hammadi,Super KA Alex,Super KA Cairo,Super KA Delta,Super KA Giza,Super KA Canal,Key Acc. W Shebien,Key Acc. W Bani Suwa,Key Acc. W Qabary,Key Acc. W Kafr Elza,Key Acc. W Zakazik,Key Acc. W Menya,Key Acc. W Assiut,Key Acc. W Sohag,Key Acc. W Luxor,Super KA. W Giza,Super KA. W Delta1,Super KA. W Delta2,Super KA. W Delta3,Total,Total Bonus
,,,,,,,,,,661.50,735.00,"1,323.00",,,,,147.00,73.50,,,147.00,220.50,,367.50,,,147.00,661.50,73.50,"7,276.50",,735.00,,,220.50,,,,0.00,,,73.50,220.50,220.50,,294.00,,,,,,,,,,,,,,,,,,73.50,,147.00,73.50,294.00,220.50,220.50,147.00,808.50,,73.50,"1,029.00","1,176.00",441.00,,73.50,"1,029.00",147.00,,,147.00,73.50,147.00,,,"5,586.00",73.50,,,,,73.50,,,"2,425.50",735.00,"1,176.00","1,764.00",,,,,,,,,,,,,,,"31,752.00",
,مستر بيير اوميجا 400 مل,38690,,,,31,,,,1,,2,2,2,6,1,10,1,13,4,7,0,1,,3,,,7,44,1,2,2,3,18,1,,1,3,4,2,,,1,22,,,,,9,,1,1,2,2,,2,1,1,1,1,4,3,0,,,1,,,,,,,1,2,1,1,1,1,,1,1,1,,6,2,,6,,3,3,,10,,,,,,4,6,1,11,4,,,,,,,,,,,,,,290,10
,,,,,,"34,385.96",,,,982.46,,"1,964.91","1,964.91","1,964.91","5,894.74",982.46,"9,824.56",982.46,"12,771.93","3,929.82","6,877.19",0.00,982.46,,"2,947.37",,,"6,877.19","43,228.06",982.46,"1,964.91","1,964.91","2,947.37","19,649.12",982.46,,982.46,"2,947.37","3,929.82","1,964.91",,,982.46,"21,614.03",,,,,"8,842.10",,982.46,982.46,"1,964.91","1,964.91",,"1,964.91",982.46,982.46,982.46,982.46,"3,929.82","2,947.37",0.00,,,982.46,,,,,,,982.46,"1,964.91",982.46,982.46,982.46,982.46,,982.46,982.46,982.46,,"5,894.74","1,964.91",,"6,877.19",,"2,947.37","2,947.37",,"9,824.56",,,,,,"3,929.82","5,894.74",982.46,"13,754.38","3,929.82",,,,,,,,,,,,,,"294,736.80",
,مستر بيير بلس شراب برتقال 160 مل,28497,,1,,,,,,4,3,12,3,1,18,86,1,7,4,25,10,3,3,3,1,-1,3,581,,3,5,22,40,16,,8,4,31,6,5,,5,4,7,8,2,,,4,1,1,,18,3,,3,16,2,3,1,,,1,4,,,,2,4,14,2,1,1,121,1,3,4,,,3,,,,4,,1,2,2,,1,,502,,7,,3,45,63,8,610,10,15,600,,100,,100,,50,,,100,,,,"3,370",164
,,,,101.75,,,,,,407.02,305.26,"1,221.05",305.26,915.79,"1,831.57","8,750.84",101.75,712.28,407.02,"3,052.62","1,017.54",305.26,305.26,305.26,101.75,-101.75,305.26,"67,462.90",,305.26,508.77,"2,543.85","4,070.16","1,628.06",,814.03,407.02,"3,154.37",610.52,508.77,,508.77,407.02,712.28,814.03,203.51,,,407.02,101.75,101.75,,"2,136.83",305.26,,305.26,"1,831.57",203.51,305.26,101.75,,,101.75,407.02,,,,203.51,407.02,"1,424.56",203.51,101.75,101.75,"12,312.23",101.75,305.26,407.02,,,305.26,,,,407.02,,101.75,203.51,203.51,,101.75,,"51,080.51",,712.28,,305.26,"5,392.96","7,224.53",814.03,"62,069.94","1,017.54","1,526.31","61,052.40",,"14,754.33",,"10,175.40",,"5,087.70",,,"10,175.40",,,,"359,598.64",
,مستر بيير شراب مانجو 160 مل,27616,,,,5,,,,1,6,9,1,8,14,79,4,,6,3,2,,4,,,,2,74,,9,1,4,76,10,1,2,8,20,3,5,4,2,8,3,5,7,2,,,1,4,,4,8,1,1,13,,2,,4,2,2,3,,,,1,2,5,,,,,3,,1,,,,4,,2,5,,2,1,3,1,3,1,509,,3,0,5,9,6,12,,8,8,400,,,,100,,40,,,73,,,,"1,640",2
,,,,,,508.77,,,,101.75,610.52,915.79,101.75,814.03,"1,424.56","8,038.57",407.02,,610.52,305.26,203.51,,407.02,,,,203.51,"7,529.80",,915.79,101.75,407.02,"7,733.30","1,017.54",101.75,203.51,814.03,"2,035.08",305.26,508.77,407.02,203.51,814.03,305.26,508.77,712.28,203.51,,,101.75,407.02,,407.02,814.03,101.75,101.75,"1,526.31",,203.51,,407.02,203.51,203.51,305.26,,,,101.75,203.51,508.77,,,,,305.26,,101.75,,,,407.02,,203.51,508.77,,203.51,101.75,305.26,101.75,305.26,101.75,"51,792.79",,305.26,0.00,508.77,915.79,610.52,"1,221.05",,814.03,814.03,"40,701.60",,,,"10,175.40",,"4,070.16",,,"7,428.04",,,,"167,080.07",
,مستر بيير فروتا جوس 400 مل مانجو,19747,,,,,,,,,1,1,,,,1,,1,,,1,,,1,,,,,,,,,5,,,,50,5,,,,,,,2,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,1,5,,,,,,,,,,,,,,97,20
,,,,,,,,,,,168.42,168.42,,,,168.42,,168.42,,,168.42,,,168.42,,,,,,,,,842.11,,,,"11,789.47",842.11,,,,,,,336.84,,,,,168.42,,168.42,,168.42,,,168.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,200.00",,168.42,842.11,,,,,,,,,,,,,,"19,705.26",
,Total Units,,"9,816","9,054","13,323","21,129","6,179","3,035",934,"1,045",582,"1,124",718,"2,029",828,"1,332",960,"1,622",745,"1,190",593,812,"1,263",695,845,"2,547","1,290","3,750","1,853",683,"2,214","3,247","1,928",981,856,455,920,"1,714",955,"1,118",321,159,790,824,604,534,178,98,189,223,210,407,535,535,153,571,298,205,218,149,557,146,188,917,515,"1,205",358,345,289,631,648,641,342,392,348,441,570,958,835,291,288,158,124,389,271,330,311,376,362,307,245,"2,423",156,245,553,280,308,"7,088","2,495","11,113","29,891","1,787","5,000","1,460","5,539","8,530","2,420","5,904","5,380","2,825",0,"2,973","1,300","20,901","1,632","245,546","24,927"
,Total Values,,"612,318.70","619,524.45","832,289.14","1,453,611.98","392,916.72","508,056.00","86,964.93","93,846.50","50,654.63","99,297.31","86,646.48","158,829.07","88,968.31","129,281.40","131,690.40","187,596.01","108,394.70","123,637.67","59,590.48","84,843.23","147,387.06","58,555.77","81,659.95","232,637.34","122,860.83","314,920.77","198,178.31","64,070.95","280,984.95","329,859.15","172,946.74","113,644.88","79,265.27","48,548.31","98,831.16","153,894.76","84,696.69","96,118.81","29,144.72","12,965.11","80,181.25","100,349.25","51,826.14","46,182.13","17,640.50","11,255.95","25,877.94","26,705.29","22,868.95","39,712.15","40,962.75","49,893.85","15,043.41","61,892.96","32,983.45","22,689.56","27,790.13","15,794.18","65,732.24","16,327.29","19,857.62","80,985.44","45,109.22","114,395.16","36,541.58","25,035.52","28,984.99","58,487.87","57,606.67","68,593.81","39,916.46","37,673.83","29,161.28","39,017.24","45,056.49","85,191.74","61,305.82","26,318.68","26,637.37","17,283.95","11,218.12","42,438.20","28,394.06","35,771.88","32,004.52","42,520.22","36,246.02","34,583.28","21,173.81","187,231.80","12,914.10","19,296.24","37,604.34","24,028.89","28,034.87","860,785.95","254,883.55","1,043,196.64","3,567,391.71","174,473.38","462,248.50","124,822.04","494,853.20","850,308.60","187,256.40","531,604.66","475,760.39","274,770.53",0.00,"265,043.44","113,198.91","1,494,327.85","158,708.11","22,272,093.94",
